ticker,market_cap,pe_ratio,ev_ebitda,pb_ratio,roe,roic,gross_margin,debt_to_equity,revenue_growth,earnings_growth,price_1m,price_3m,price_6m,fetched_at,sector,sub_industry,score_valuation,score_quality,score_momentum,composite_score,rank,tier,confidence
MO,123404959744.0,15.427976,9.134,-38.44953,,0.375506,0.87378997,,0.053,1.063,0.100521,0.089276,0.334614,2026-05-23T02:05:47.086068,Consumer Staples,Tobacco,2.0550423575624355,3.0048643998664106,1.808540364846416,2.313529474554021,1,A,89
BKNG,124801925120.0,21.24802,12.226,-14.399642,,0.585594,0.86987,,0.162,2.4,-0.088769,0.042589,-0.170646,2026-05-23T02:06:39.939463,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.9357075595999037,2.861393701178759,0.8189341280112402,1.574665679675904,2,A,76
PM,294552043520.0,26.61831,18.405,-29.437695,,0.263647,0.67280996,,0.091,-0.093,0.117028,0.018465,0.273774,2026-05-23T02:12:00.898835,Consumer Staples,Tobacco,0.8285336846163764,2.414751003523936,1.0530542923220594,1.451065928545727,3,A,74
APA,13714644992.0,9.044289,3.596,2.124165,0.26217,0.139459,0.72273004,61.314,-0.119,0.322,,0.360018,0.615368,2026-05-23T02:06:04.047018,Energy,Oil & Gas Exploration & Production,1.2375811533715715,1.5703164227510267,1.502122668046168,1.4334009520567597,4,A,74
EIX,27389634560.0,7.7369566,8.309,1.5890167,0.18864,0.059282,0.58677,226.101,0.077,-0.632,0.011942,-0.03497,0.235218,2026-05-23T02:08:24.182145,Utilities,Electric Utilities,1.805366322706426,1.8747314268320845,0.46229139234358996,1.4267216300415555,5,A,74
ALL,55757373440.0,4.7920356,3.994,1.8875489,0.45221,0.324777,0.34428,23.719,0.03,3.384,0.000185,0.055957,0.029915,2026-05-23T02:05:44.454515,Financials,Property & Casualty Insurance,1.1940429305692377,2.1334751990848893,0.6940981202868486,1.372860781464999,6,A,73
CF,18696683520.0,10.9639635,6.746,3.4995396,0.273,0.196148,0.39125,43.847,0.194,1.151,-0.027018,0.280219,0.581885,2026-05-23T02:07:09.482274,Materials,Fertilizers & Agricultural Chemicals,0.8395411502615924,1.8270922309245903,1.3384283843999745,1.3348501987351562,7,A,72
MU,846928216064.0,35.441246,23.25,11.691082,0.39823002,0.289656,0.58437,14.902,1.963,7.56,0.558997,0.784724,2.356491,2026-05-23T02:11:02.442168,Information Technology,Semiconductors,0.4266315391800366,0.5274610400615783,2.707754147040589,1.146258646846742,8,A,69
WDC,166922665984.0,28.946802,42.302,23.154673,0.85920995,0.710845,0.45428002,17.81,0.455,4.829,0.20133,0.727807,2.212757,2026-05-23T02:14:20.113978,Information Technology,"Technology Hardware, Storage & Peripherals",-0.07332222704357591,1.5652061984490566,2.0738843525051256,1.1443246957434559,9,A,69
SNDK,218978844672.0,50.467236,39.926,21.428114,0.39297,0.432275,0.56038,1.503,2.51,,0.585846,1.218623,5.5152,2026-05-23T02:12:44.753388,Information Technology,"Technology Hardware, Storage & Peripherals",-0.20097397689144397,0.8545608461117602,3.0477441054652323,1.1430786358666802,10,A,69
DVA,12742006784.0,19.106833,9.708,-17.391153,0.80981004,0.060571,0.32454,1261.331,0.06,0.435,0.280526,0.312269,0.661394,2026-05-23T02:07:58.549238,Health Care,Health Care Services,1.773687456257294,-0.7229331124731273,2.4830001829990715,1.1126640752241799,11,A,69
NEM,114911379456.0,13.961089,6.89,3.3069124,0.25832,0.209926,0.67356,15.762,0.458,0.786,-0.030794,-0.131929,0.250102,2026-05-23T02:11:18.278748,Materials,Gold,0.8747818386112653,2.3221783997113876,-0.0606815891359018,1.100731606672158,12,A,68
ADP,90064125952.0,21.017723,14.06,14.214245,0.71208,0.404837,0.48497,69.259,0.07,0.105,0.134891,0.104222,-0.085805,2026-05-23T02:06:18.963974,Industrials,Human Resource & Employment Services,0.20337151183701238,2.286984485925825,0.7295450190209636,1.090488104923282,13,A,68
PFG,22432884736.0,14.8995695,9.992,1.9024675,0.13385999,0.097855,0.47612998,33.624,-0.045,8.19,0.070619,0.13048,0.25089,2026-05-23T02:12:08.435276,Financials,Life & Health Insurance,0.6043552900366129,0.09968158632645226,2.5152127154191497,1.0009767213528176,14,A,67
NUE,52835897344.0,23.015873,11.568,2.5298786,0.12285,0.082867,0.14062999,31.595,0.213,3.821,0.089458,0.301601,0.520241,2026-05-23T02:11:34.019815,Materials,Steel,0.5119858776023968,0.05728584952656202,2.42747728301703,0.9274882894002445,16,A,65
DECK,15141803008.0,15.151988,9.429,5.818152,0.39688,0.353064,0.57545,13.14,0.071,0.11,-0.009656,-0.097317,0.283171,2026-05-23T02:07:59.138155,Consumer Discretionary,Footwear,0.6587440936146495,1.430998741240455,0.5525718028206091,0.8971815330454692,17,A,65
INCY,19410835456.0,13.723165,9.997,3.4550693,0.30823,0.253076,0.52766,0.701,0.209,0.838,0.017702,-0.036589,-0.085467,2026-05-23T02:09:50.178202,Health Care,Biotechnology,0.834356388062098,1.2233686673899657,0.5029627394986769,0.8710925912578253,18,A,65
HST,15526489088.0,15.224489,11.67,2.2451844,0.1487,0.081062,0.28978002,80.482,0.028,1.053,0.062174,0.144666,0.330633,2026-05-23T02:09:39.041985,Real Estate,Hotel & Resort REITs,0.8904781186331708,0.24957372252665488,1.5431369872029017,0.8619592405668095,19,A,64
MAR,97340653568.0,38.614014,24.216,-23.879293,,0.193854,0.79037005,,0.126,0.017,0.002471,0.079514,0.248568,2026-05-23T02:10:43.890553,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-0.011331886529939428,1.5375240095230425,0.9575037308455994,0.8214183623012659,21,A,64
TRV,65167089664.0,9.142601,6.38,2.0369287,0.25272,0.182958,0.32878,28.975,0.01,3.576,-0.002831,0.007158,0.061727,2026-05-23T02:13:32.942604,Financials,Property & Casualty Insurance,1.0415963334584362,0.7453302604519505,0.5960112519902468,0.8042276834657093,23,A,63
